,timestamp,raw_mix.lab.measure.moisture_out,raw_mix.lab.measure.sito_009
541,2025-02-22 22:00:00,0.85,20.0
542,2025-02-23 00:00:00,0.8,18.0
543,2025-02-23 02:00:00,0.82,18.1
544,2025-02-23 04:00:00,0.83,18.3
545,2025-02-23 06:00:00,0.8,18.6
546,2025-02-23 08:00:00,0.84,18.5
547,2025-02-23 10:00:00,0.83,18.0
548,2025-02-23 12:00:00,0.82,17.8
549,2025-02-23 14:00:00,0.84,18.4
550,2025-02-23 16:00:00,0.83,19.6
551,2025-02-23 18:00:00,0.83,20.0
552,2025-02-23 20:00:00,0.82,20.2
553,2025-02-23 22:00:00,0.8,21.2
554,2025-02-24 00:00:00,0.84,19.5
555,2025-02-24 02:00:00,0.82,20.0
556,2025-02-24 04:00:00,0.85,19.8
557,2025-02-24 06:00:00,0.84,21.0
558,2025-02-24 08:00:00,0.8,18.2
559,2025-02-24 10:00:00,0.83,17.8
560,2025-02-24 12:00:00,0.84,19.7
561,2025-02-24 14:00:00,0.83,22.0
562,2025-02-24 16:00:00,0.83,19.7
563,2025-02-24 18:00:00,0.84,19.7
564,2025-02-24 20:00:00,0.86,18.7
565,2025-02-24 22:00:00,0.84,19.5
566,2025-02-25 00:00:00,0.82,20.0
567,2025-02-25 02:00:00,0.8,19.0
568,2025-02-25 04:00:00,0.82,19.3
569,2025-02-25 06:00:00,0.84,18.8
570,2025-02-25 08:00:00,0.83,19.1
571,2025-02-25 10:00:00,0.82,21.3
572,2025-02-25 12:00:00,0.81,19.5
573,2025-02-25 14:00:00,0.84,20.7
574,2025-02-25 16:00:00,0.82,21.4
575,2025-02-25 18:00:00,0.8,16.4
576,2025-02-25 20:00:00,0.85,15.5
577,2025-02-25 22:00:00,0.83,19.7
578,2025-02-26 00:00:00,0.83,20.0
579,2025-02-26 02:00:00,0.86,20.8
580,2025-02-26 04:00:00,0.83,19.6
581,2025-02-26 06:00:00,0.85,21.0
582,2025-02-26 08:00:00,0.84,149.5
583,2025-02-26 10:00:00,0.82,18.7
584,2025-02-26 12:00:00,0.8,18.9
585,2025-02-26 14:00:00,0.81,18.1
586,2025-02-26 16:00:00,0.82,19.8
587,2025-02-26 18:00:00,0.83,19.0
588,2025-02-26 20:00:00,0.82,20.0
589,2025-02-26 22:00:00,0.84,19.1
590,2025-02-27 00:00:00,0.83,17.0
591,2025-02-27 02:00:00,0.81,18.6
592,2025-02-27 04:00:00,0.84,18.9
593,2025-02-27 06:00:00,0.82,19.7
594,2025-02-27 08:00:00,0.85,18.6
595,2025-02-27 10:00:00,0.83,18.8
